id	title	title_source	title_uri	ccodes	fclasses	types	lat	lon	geowkt	start	end	links	description	approximation
id_04503	Conhaway			US	H	Rio	38.836200	-82.137700		1786	1789		Río caudaloso de la Carolina Septentrional : corre muchas leguas, primero al NE, luego al N y después al NO, y entra en el Ohio , llámase también río au Bois y río Nuevo .	crm:P189_approximates
id_04504	Petit Conhaway			US	H	Rio	38.070500	-77.467100		1786	1789		Otro hay del mismo nombre en la Provincia y Colonia de Virginia con el aditamento de Petit o Pequeño, corre al NO y entra también en el Ohio .	geo:sfWithin
id_04505	Conicari			MX	P	Pueblo	27.215000	-109.096700		1786	1789	indias:1003899	Pueblo de la Provincia y Gobierno de Cinaloa en Nueva España , situado a la orilla y Cabecera del río Mayo , reducción de las Misiones que tenían los Regulares de la Compañía.	
id_04506	Coniguas			PE	L	Nación	-10.497600	-75.287600		1786	1789		Nación bárbara de Indios de la Provincia y Gobierno de Tarma en el Perú , habita en las montañas de los Andes , unida con los Chunchos, y hay poco conocimiento de ella.	geo:sfWithin
id_04507	Bocas de Conil			MX	H	Entrada	19.179100	-89.324400		1786	1789		entradas que hace el mar en la Costa de la Provincia y Gobierno de Yucatán , entre el río de Lagartos y los baxos del Cuyo .	geo:sfWithin
id_04508	Conilabquen			CL	H	Rio	-33.220600	-70.993700		1786	1789		Río pequeño del Partido de Toltén Alto en el Reyno de Chile , corre al S y entra en el de Toltén .	geo:sfWithin
id_04509	Conima			PE	P	Pueblo	-15.458700	-69.436900		1786	1789	indias:8000540	Pueblo de la Provincia y Corregimiento de Paucarcolla en el Perú , anexo al Curato de Moxo .	
id_04510	Connecticut			US	A	Condado	41.668800	-72.676000		1786	1789		Condado de la Provincia y Colonia de la Nueva Inglaterra en la América Septentrional : comprehende el Puerto Nuevo , aunque algunos lo cuentan por Condado distinto: confina al Poniente con la Nueva Yorck y el río de Hudson : está separado de la Isla Larga por un brazo de mar al Mediodía: tiene a Levante la Isla de Rodas con parte de la Colonia de Massachusets y el resto al N: lo atraviesa un río del mismo nombre que es el más caudaloso de toda la Provincia, navegable por más de 40 millas de emba...	crm:P189_approximates
id_04510a	Connecticut			US	H	Rio	41.289300	-72.346600		1786	1789		Tiene el mismo nombre el río que hemos dicho en el artículo anterior; es gran de, caudaloso y navegable de embarcaciones grandes: se forma de varias lagunas pequeñas, corre al S y sale al mar en el estrecho de la Isla Larga .	crm:P189_approximates
id_04512	Connetable				T	Isla	4.878400	-52.260600		1786	1789		Isla pequeña del País de Cayena perteneciente a los Franceses entre la Ciudad de Cayena y el Cabo de Orange .	geo:sfWithin
id_04513	Petite Connetable				T	Isla	4.878500	-52.260500		1786	1789		Otra Isla pequeña hay también de esta misma Provincia con el aditamento de Petite para distinguirla de la otra.	geo:sfWithin
id_04514	Conocoto			EC	P	Pueblo	-0.306900	-78.501200		1786	1789	indias:5600218	Pueblo del Reyno de Quito en el Corregimiento del distrito de las cinco leguas de la Ciudad , a cuya inmediación hay un cerrillo que llaman Yllaló , en cuya falda se encuentran varias fuentes hermosas de agua caliente medicinal, muy frecuentadas para tomar baños con acreditado beneficio.	
id_04515	Conoma			BR	H	Laguna	-3.948400	-54.336000		1786	1789		Laguna de la Provincia y País de las Amazonas en la parte que poseen los Portugueses: se forma de un desague del río de la Madera , muy cerca de su orilla y a poca distancia del de las Amazonas .	geo:sfWithin
id_04516	Cabo de Conome			US	T	Punta de tierra	39.481800	-87.318500		1786	1789		Punta de tierra de la Costa de la Nueva Escocia , en la Bahía de Fundy , y lo más interior de ella.	geo:sfWithin
id_04517	Conoribo			BR	H	Rio	-4.951500	-39.700700		1786	1789		Río de la Provincia y Capitanía de Seara en el Brasil : nace cerca de la Costa, corre al N entre el de la Concepción o San Francisco y el de la Cruz , y sale al mar.	geo:sfWithin
id_04518	Conostee			US	P	Pueblo de Indios	34.763800	-82.349700		1786	1789		Pueblo de Indios de la Carolina Septentrional , situado a orilla del río Euphasee .	geo:sfWithin
id_04519	Consahatche			US	H	Rio	32.053900	-81.110000		1786	1789		Río de la Provincia y Colonia de Georgia : corre al SE y sale al mar.	geo:sfWithin
id_04520	Consata			BO	P	Pueblo	-15.385100	-68.513300		1786	1789	indias:8000594	Pueblo de las Misiones que tienen los Religiosos de San Agustín en el País del Paititi de la Provincia y Corregimiento de Larecaja en el Perú .	crm:P189_approximates
id_04521	Punta de Consets				T	Punta	13.261800	-59.403300		1786	1789		en la Costa del E de la Isla de Barbada al lado de la Punta de Bele .	geo:sfWithin
id_04522	Nuestra Señora de Consolacion			CO	P	Pueblo	3.751500	-74.928700		1786	1789		Pueblo del Gobierno de Neiba en el Nuevo Reyno de Granada , anexo al Curato de la Villa de la Purificación : está situado a orilla del río Pardo , es de temperamento cálido, abundante en frutos de este clima, y en insectos molestos y venenosos: tiene poco más de 200 vecinos.	
id_04523	Consolacion			CL	T	Punta	-33.219000	-70.992100		1786	1789		Tiene el mismo nombre una Punta o Lengua de tierra llamada de la Posesión , en la Costa del N del estrecho de Magallanes , una de las que forman la Bahía de la Posesión , y donde se ven las ruinas del fuerte del nombre de Jesús, que fundó el Almirante Pedro Sarmiento.	geo:sfWithin
id_04524	Constance				P	Ciudad	13.262100	-59.403000		1786	1789		Ciudad pequeña de los Ingleses en la Isla de Barbada .	geo:sfWithin
id_04525	Pérez Constantino			CL	T	Isla	-33.218800	-70.991900		1786	1789		Isla del río de Valdivia en el Reyno de Chile , frente de la misma Ciudad, con otras dos pequeñas, una delante y otra detras, que forman el célebre Puerto de este nombre: por ambos lados se navega, pero por ser el canal de la parte austral más ancho, entran por él los navios y embarcaciones grandes, y por la Septentrional que es más estrecha las fragatas y barcos chicos.	geo:sfWithin
id_04526	Rio das Contas			BR	H	Rio	-14.069500	-39.708900		1786	1789		en la Provincia y Capitanía de Ylheos en el Brasil : nace cerca de la Costa, corre al E y sale al mar entre la Barra de Camama y el río de Ylheos .	geo:sfWithin
id_04527	Contas			BR	P	Villa	-13.369800	-39.595800		1786	1789		Tiene el mismo nombre una Villa de esta Provincia y Reyno .	geo:sfWithin
id_04528	Continent			US	A	Provincia	44.411700	-69.944800		1786	1789		Provincia de la Nueva Inglaterra, una de las 4 que la componen es de figura de un romboide: por el lado del O y NO confina con la de Hampshire , por el E con la de Sagadahook , y por el SE con el Océano.	
id_04529	Contook			US	P	Pueblo	43.110100	-71.187400		1786	1789		Pueblo de los Ingleses en la Provincia de Hampshire , una de las 4 de la Nueva Inglaterra , situado a orilla del río Pennycook .	geo:sfWithin
id_04530	Contook			US	H	Rio	43.110200	-71.187300		1786	1789		Tiene el mismo nombre un río de esta Provincia: nace de una laguna pequeña, corre al S, luego tuerce al E y entra en el de Pennycook .	geo:sfWithin
id_04531	Contoy			MX	T	Isla	19.181600	-89.321900		1786	1789		Isla de la mar del N cerca de la Cos ta de la Provincia y Gobierno de Yucatán junto al Cabo de Cotoche .	geo:sfWithin
id_04532	Contre-Pasturage			US	H	Rio	38.073400	-77.464200		1786	1789		Río de la Provincia y Colonia de Virginia : corre al NE y entra en la Cabecera del de James .	geo:sfWithin
id_04533	Contreras			PA	T	Isla	8.155800	-80.934900		1786	1789		Isla pequeña de la mar del S junto a la Costa de la Provincia y Gobierno de Veragua en el Reyno de Tierra Firme .	geo:sfWithin
id_04534	Contumaza			PE	P	Pueblo	-7.365700	-78.802200		1786	1789	indias:6001242	Pueblo de la Provincia y Corregimiento de Caxamarca en el Perú .	
id_04535	Conuco			CL	P	Pueblo	-36.560000	-72.753500		1786	1789	indias:7000355	Pueblo de la Provincia y Corregimiento de Ytata en el Reyno de Chile , situado cerca de la Costa enfrente de la Isla de Quiriquina .	geo:sfWithin
id_04536	Conuentos			BR	P	Pueblo	-30.356100	-51.880200		1786	1789		Pueblo de la Provincia y Capitanía del Rey en el Brasil , situado en la Cabecera del río Curytaba .	geo:sfWithin
id_04537	Conuentos			CL	P	Pueblo	-35.663000	-71.946200		1786	1789	indias:7000322	Otro Pueblo hay del mísrmo nombre en la Provincia y Corregimiento de Chillán en el Reyno de Chile .	
