entry_id	volume	entrytype	majortype	form_lemma	sense_text
id_01713	1	Toponym	settlement	BARBUDO	Pueblo del Nuevo Reyno de Granada , fundado por Francisco Henriquez, a orilla del río de la Magdalena , el año de 1541 en la Provincia de los Malebueyes ; fue Población grande y rica por las minas de oro que tiene en su inmediación y hoy no se trabajan, por lo qual ha venido a suma miseria y decadencia.
id_01714	1	Toponym	human_group	BARBUDOS	Nación bárbara de Indios que habitan en los bosques, al S del río Marañon y al E del Guallaga : son enemigos de los Aguanos y de los Cocamas; pero hoy están unidos la mayor parte, y reducidos a Población por los Misioneros Jesuítas de Mainas .
id_01715	1	Toponym	human_group	BARBURES	Nación bárbara del Nuevo Reyno de Granada , que habitan las selvas inmediatas a la Ciudad de Pamplona : son descendientes de los Chitareros; pero han quedado muy pocos y no están bien conocidos.
id_01716	1	Toponym	natural_feature	BARBUE	Río de la Nueva Francia o Canadá, nace de una laguna, corre al O, entre los de Raisin y de Marameg , y entra en el lago Nichigan .
id_01717	1	Toponym	settlement	BARCA	Pueblo de la Provincia y Corregimiento de Paria , en el Perú , anexo del Curato de Toledo .
id_01718	1	Toponym	territory		Alcaldía mayor del Reyno de Nueva Galicia , pero del Obispado de Mechoacán : su Capital que tiene el mismo nombre, es un lugar grande, de numeroso vecindario de Españoles, Mestizos y Mulatos , particularmente en sus inmediaciones, que están pobladas de muchas haciendas de campo, labores y crias de ganado mayor y menor; es muy ameno y fértil, porque pasa por sus cercanías el río grande de Guadalaxara , de donde dista 25 leguas al ESE: long. 260 20, lat. 20 45.
id_01719	1	Toponym	territory	BARCELONA	Provincia del Gobierno de Cumaná , una de las tres que le componen: confina por el O con la de Cumaná , por el E con la de Caracas , y por el S con el río Orinoco , que la divide de la Guayana ; todo el frente que mira al N es una serranía de la que empieza en la Punta de Paria y sigue hasta Santa Marta ; pero en esta Provincia es más angosta y más baxa, aunque inútil para ganados, ni cultivo alguno: a distancia de 9 leguas, y a espaldas de esta, empiezan los dilatados llanos llamados de su nombre, y siguen con los de Caracas al Sur hasta el Orinoco , pero son arenales que no producen yerva, y sin embargo tienen muchísimo ganado, por la que se cría a las orillas de los ríos, y perece mucho quando escasean las aguas: el temperamento es lo mismo que el de Cumaná ; pero no tan mal sano: produce solo maíz, yucas, plátanos y demás frutos que en aquella; pero con escasez: su principal utilidad consiste en los ganados, salando y secando la carne que llaman tasajo, y extraen para las Islas de la Margarita , Trinidad y otras partes, y de los cueros embarcan como una tercera parte para las de Santo Domingo y Puertorico , y el resto los extraen los Olandeses, calculando que matan cada año de 8 a 9.000 reses: su costa abunda de pescado; pero no tanto, ni de tan buen gusto como la de Cumaná ; hay en ella quatro salinas pequeñas de que se abastecen, sin más trabajo que amontonar la sal. Los principales ríos que tiene son el de Barcelona y el de Unare , que ambos corren al N: abunda mucho en toda la Provincia una especie de palma, semejante a la de los dátiles que llaman moriche, y cada una produce un arroyo de agua, y juntas muchas un río de bastante caudal, por un magnetismo averiguado que tiene esta planta para absorver las hu medades de la tierra. Contiene esta Provincia 18 Pueblos además de
id_01719a	1	Toponym	settlement		su Capital, que tiene el mismo nombre. Fundada el año de 1634 por Don Juan de Urpin en un llano, a las orillas del río de su nombre, distante media legua del mar: su terreno es pantanoso, que por no estar empedrada la hace tan incómoda en el Invierno por las aguas, como en el Verano por el polvo que se levanta a poco viento que haga; es Ciudad abierta y sin fortificación alguna, pequeña, compuesta de 500 vecinos, que son dueños de 150 haciendas cortas, algunas de ellas de cacao, situadas en el valle de Cupira , de la de Caracas , de donde no les es permitido extraer los frutos; las demás son de ganado mayor, en que se cuentan más de 40.000 cabezas, que bastarian a enriquecer otro País donde no valieran tan poco, pues una res solo cuesta dos pesos y medio, si es en dinero efectivo la paga, y quatro si es en efectos, esto es causa de la pobreza del País, sin embargo de ser sus vecinos los más aplicados al trabajo de toda la Provincia: tiene además de la Iglesia Parroquial, que no está acabada, otra con un Hospicio para los Religiosos Franciscos de las Misiones del Piritú : está 12 leguas de la Capital Cumaná , que por tierra son 20 a causa de la aspereza y fragosidad de los caminos.
id_01720	1	Toponym	natural_feature		Un Río de la misma Provincia y Reyno ; nace en lo más alto de la serranía de Cumaná , y recogiendo las aguas de otros menores que baxan de la Mesa de Guanipas , sigue su curso N S, y a orillas de la Ciudad de su nombre sale al mar: en el Invierno suele traer fuertes avenidas, y en el Verano le quedan suficientes aguas para navegar una balandra; pero ni en uno ni otro tiempo pueden entrar más que lanchas, porque no permite paso para otras embarcaciones la barra que tiene a la entrada.
id_01721	1	Toponym	settlement	BARCELLOS	Ciudad de la Provincia y País de las Amazonas , en la parte que poseen los Portugueses, está a la orilla del caudaloso río Negro , frente de la segunda barranca de Varaca , que es uno de los brazos por donde le entra el río Paraviñanas o de Parime.
id_01722	1	Toponym	natural_feature	BARCO	Punta de la costa del Sur, en la cabeza del O de la Isla de Santo Domingo , en el territorio de los Franceses, entre la ensenada del Judio y la de los Collados .
id_01723	1	Toponym	human_group	BARECYES	Nación bár bara, inmediata a las orillas del río Paraguay al E, no muy distante del lago de los Xareyes .
